code,northing,easting
S1,4983780.213295732,230865.07869002694
S2,4983771.264626433,230864.70169380913
S3,4983788.530333347,230873.11110644147
S4,4983780.663044068,230883.75401583
S5,4983775.517571162,230895.82852566527
